index,stocks
0,ICUI
1,ARQL
2,CACC
3,CLX
4,MGPI
5,CME
6,MIXT
7,PGR
8,RTN
9,EGRX
10,ROST
11,SA
12,VICR
13,OFLX
14,ALGN
15,CRNT
16,ANGI
17,VCEL
18,NURO
19,CNC
20,LMAT
21,TVIX
22,NTWK
23,LOGI
24,TTWO
25,MZOR
26,SPHS
27,HIIQ
28,TPL
29,HSKA
30,FOXF
31,CTAS
32,AMZN
33,EGAN
34,INFO
35,SRPT
36,PAYC
37,BWXT
38,EXEL
39,CLUB
40,COR
41,WD
42,AMED
43,INGN
44,PMD
45,ISRG
46,CASM
47,CASI
48,CPRT
49,WTW
50,AXGN
51,SYNC
52,SKYW
53,TSE
54,MTN
55,STZ
56,MBOT
57,NERV
58,ZN
59,CDXS
60,LUNA
61,LULU
62,HTHT
63,PLUS
64,WWE
65,RENN
66,NETE
